datetime,alpha_rad,psi_rad,muN,muE,muS,muW,uN,uE,uS,uW,I_N,I_E,I_S,I_W
2014-06-17 14:00:00,1.1219358735480207,2.6165778165586104,0.0,0.15504618228141195,0.40529479093939996,0.0,0.0,0.6332553044678837,0.0,0.4506733280975649,178.2350005513438,230.70443255237467,178.2350005513438,178.2350005513438
2014-06-17 15:00:00,0.9514952848267788,2.2789183706079807,0.0,0.3752919300868223,0.44282831951162666,0.0,0.0,0.5678805750762324,0.0,0.35275212307200143,181.99000041184843,251.62728620746847,181.99000041184843,181.99000041184843
2014-06-17 16:00:00,0.7379495094224924,2.111579517846133,0.0,0.5656664272019952,0.4768636730801631,0.0,0.0,0.4650581802804016,0.0,0.19874012339391545,140.085000330198,201.08516162730842,140.085000330198,140.085000330198
2014-06-17 17:00:00,0.5075638721858029,2.0273606980703054,0.0,0.7131959662572638,0.505081398545395,0.0,0.0,0.30196930069474237,0.0,0.0,82.15000023349648,114.70646835786019,82.15000023349648,82.15000023349648
2014-06-17 18:00:00,0.2701141459759932,1.9879414154850803,0.0,0.8078266529701023,0.5255585045488621,0.0,0.41056085021663635,0.044838616066268044,0.3581816226963318,0.0,30.990000043861986,32.57253175901588,39.21444148165926,30.990000043861986
2014-06-17 19:00:00,0.030090779154852646,1.9782022124549012,0.0,0.8431095624256332,0.5368995101564475,0.0,0.934944857316173,0.0,0.9291638736111469,0.0,0.300000000343177,0.300000000343177,0.300000000343177,0.300000000343177
2014-06-17 20:00:00,-0.20961307748909958,1.9939737887307292,0.0,0.8166402226522289,0.5383315445778899,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2014-06-17 21:00:00,-0.4460783063458959,2.038774726318012,0.0,0.7302224754127931,0.529757017033919,0.0,1.0,0.2301843922786364,1.0,0.0,0.0,0.0,0.0,0.0
2014-06-17 22:00:00,-0.6748000999494751,2.1258735834978424,0.0,0.589745547369615,0.5117602674065777,0.0,1.0,0.40458679038660683,1.0,0.10816336042949037,0.0,0.0,0.0,0.0
2014-06-17 23:00:00,-0.8864598089656315,2.287040640267133,0.0,0.4047827090197361,0.4855677444419357,0.0,1.0,0.5143442633473709,1.0,0.2725630315698686,0.0,0.0,0.0,0.0
2014-06-18 00:00:00,-1.0582410661325747,2.588660343634782,0.0,0.18793887213115715,0.4529644252948427,0.0,1.0,0.584157857831253,1.0,0.37713296803679885,0.0,0.0,0.0,0.0
2014-06-18 01:00:00,-1.1387746367607905,3.0920568969983933,0.0,0.0,0.4161721722856395,0.04600841416354652,1.0,0.6271976504136715,1.0,0.4415999018648866,0.0,0.0,0.0,0.0
2014-06-18 02:00:00,-1.0805633540206865,3.6217874908450804,0.0,0.0,0.3776983166548316,0.28111602891956294,1.0,0.6490647881383902,1.0,0.4743534825892737,0.0,0.0,0.0,0.0
2014-06-18 03:00:00,-0.919940194935279,3.956611230224601,0.0,0.0,0.3401647880826051,0.5013617767249736,1.0,0.6494642964737907,1.0,0.4749518841120671,0.0,0.0,0.0,0.0
2014-06-18 04:00:00,-0.7129304133139588,4.136105798284294,0.0,0.0,0.3061294345140686,0.6917362738401469,1.0,0.6202175387120037,1.0,0.4311447771492557,0.0,0.0,0.0,0.0
2014-06-18 05:00:00,-0.4862690649586238,4.232976646474292,0.0,0.0,0.2779117090488367,0.8392658128954157,1.0,0.5345588958222679,1.0,0.3028414157331475,0.0,0.0,0.0,0.0
2014-06-18 06:00:00,-0.2507416200237613,4.283772512926212,0.0,0.0,0.25743460304536986,0.9338964996082535,1.0,0.302645396902271,1.0,0.0,0.0,0.0,0.0,0.0
2014-06-18 07:00:00,-0.011367493687467187,4.304084693206422,0.0,0.0,0.24609359743778522,0.9691794090637851,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2014-06-18 08:00:00,0.22788537129829822,4.298330587290392,0.0,0.0,0.24517559177951723,0.9427883928737756,0.0,0.283182721134408,0.0,0.0,43.49000054460719,43.49000054460719,43.49000054460719,43.49000054460719
2014-06-18 09:00:00,0.46597813424083867,4.264794968790912,0.0,0.0,0.2537126139853131,0.8565992279127655,0.0,0.5540348713599419,0.0,0.33201340636996046,92.88500094146806,92.88500094146806,92.88500094146806,128.1139296424824
2014-06-18 10:00:00,0.6980114058740075,4.190254080234663,0.0,0.0,0.27167294675018755,0.7163353709660608,0.0,0.6530412804748807,0.0,0.48030965135643344,158.70500121507786,158.70500121507786,158.70500121507786,216.9341881810511
2014-06-18 11:00:00,0.9156094010443148,4.042029339047467,0.0,0.0,0.2978326230770679,0.5315555720875959,0.0,0.6882849570296281,0.0,0.5330992125505909,179.12500086109304,179.12500086109304,179.12500086109304,204.74748416260374
2014-06-18 12:00:00,1.0968500395771816,3.743246381223587,0.0,0.0,0.3304089042551861,0.3148522692078832,0.0,0.691534440938719,0.0,0.5379664354523193,183.20000098336553,183.20000098336553,183.20000098336553,214.0305400211154
