x,E_heat_kWh,E_cool_kWh,dN_m,dS_m,etaE_rad,etaW_rad
"(0.12484252158567744, 1.1358627823035556, 1.5648627316628014, 0.1974798419028332)",128245.90261456982,21715.50129957889,0.12484252158567744,1.1358627823035556,1.5648627316628014,0.1974798419028332
"(0.3712614109510338, 2.7888965631726728, 0.20461816914540373, 1.1225580115825913)",132598.12777789816,17823.96264924375,0.3712614109510338,2.7888965631726728,0.20461816914540373,1.1225580115825913
"(0.0634440490093201, 2.6080854806355713, 1.212696413835562, 0.14126291751351674)",128364.95626240948,21510.697829790526,0.0634440490093201,2.6080854806355713,1.212696413835562,0.14126291751351674
"(0.7481627274966355, 2.1113330836206736, 0.2907430694063352, 0.22735961267411553)",139081.1831160295,12989.873970387249,0.7481627274966355,2.1113330836206736,0.2907430694063352,0.22735961267411553
"(0.15588559939531277, 2.124553460277352, 0.19595753468362997, 1.4649363597027913)",128771.10611266928,20895.927233532842,0.15588559939531277,2.124553460277352,0.19595753468362997,1.4649363597027913
"(0.2852872446898038, 2.6047093208486993, 0.12679967729380595, 0.7283132063247671)",132302.33811247125,17935.682975056807,0.2852872446898038,2.6047093208486993,0.12679967729380595,0.7283132063247671
"(0.5138739122783664, 2.5608905194402016, 0.20047139888157228, 1.451325814152264)",133578.99646756108,16680.415058130482,0.5138739122783664,2.5608905194402016,0.20047139888157228,1.451325814152264
"(0.2631270357323052, 2.6590044717990704, 1.5388487220371507, 0.2897019166604371)",130127.72433580487,19675.506043894096,0.2631270357323052,2.6590044717990704,1.5388487220371507,0.2897019166604371
"(0.1081795028320911, 2.4471919066531704, 1.3707420614353147, 1.5318008011547748)",126242.66764198423,24520.891565185677,0.1081795028320911,2.4471919066531704,1.3707420614353147,1.5318008011547748
"(0.9486424554721293, 2.769908070773636, 0.25759994341440673, 0.335883054210118)",141815.1133739302,12691.662953467856,0.9486424554721293,2.769908070773636,0.25759994341440673,0.335883054210118
"(0.5427799566926044, 1.9312213962728193, 0.10239734601590136, 1.3346151956156567)",134315.73339431107,16185.268968229046,0.5427799566926044,1.9312213962728193,0.10239734601590136,1.3346151956156567
"(0.02194336887904691, 0.8861723841295519, 0.41066949609510806, 1.5692916219659956)",126660.9166913663,24439.45606835927,0.02194336887904691,0.8861723841295519,0.41066949609510806,1.5692916219659956
"(0.327846873343674, 1.2857787547527495, 0.17795758635767017, 0.48648368602940095)",133103.52529532925,17393.672980466414,0.327846873343674,1.2857787547527495,0.17795758635767017,0.48648368602940095
"(0.013500374818977368, 2.1882313787979126, 1.4500424307437407, 0.20583377622354082)",127086.73352558013,22661.418775761074,0.013500374818977368,2.1882313787979126,1.4500424307437407,0.20583377622354082
"(0.4031007399391845, 2.236943973713573, 0.21400096116435557, 0.15301218287639642)",134358.1782576484,15064.250409376202,0.4031007399391845,2.236943973713573,0.21400096116435557,0.15301218287639642
"(1.4685060195216244, 2.348284044168307, 0.15355496254549583, 0.2446621033564688)",148438.91093046134,11906.861348567372,1.4685060195216244,2.348284044168307,0.15355496254549583,0.2446621033564688
"(1.1371580851119156, 2.243369169439994, 0.1341928469789986, 0.41608188194464324)",144313.33216938196,12575.13992736963,1.1371580851119156,2.243369169439994,0.1341928469789986,0.41608188194464324
"(0.1503200690908013, 1.6466627670197012, 0.37878018087574317, 0.18017896796311206)",130799.42954981838,18848.48680647064,0.1503200690908013,1.6466627670197012,0.37878018087574317,0.18017896796311206
"(1.685456790188998, 2.3697179452067627, 0.11096095419299046, 0.10140434013251638)",150889.94933749974,11497.397782247403,1.685456790188998,2.3697179452067627,0.11096095419299046,0.10140434013251638
"(1.3836266575127214, 2.529174722897254, 0.18142633072148756, 0.2998750033887465)",147416.7216524139,12122.850603688,1.3836266575127214,2.529174722897254,0.18142633072148756,0.2998750033887465
"(0.2782682322734843, 1.8124026156512136, 0.587764559128826, 0.1320530233373643)",132375.83464055252,17898.360603798777,0.2782682322734843,1.8124026156512136,0.587764559128826,0.1320530233373643
"(0.3551972495360063, 1.1781301756827713, 0.39955802729169243, 0.2912221436713588)",133488.37896236178,17164.858796582237,0.3551972495360063,1.1781301756827713,0.39955802729169243,0.2912221436713588
"(0.12028502961832777, 1.7892974036725255, 1.4232732658041243, 1.3103577093148646)",126826.74701840547,24404.24141291381,0.12028502961832777,1.7892974036725255,1.4232732658041243,1.3103577093148646
"(0.2004772641043887, 2.115720176375514, 0.10046219687680784, 1.447088023320892)",129430.32412430528,20027.12965212424,0.2004772641043887,2.115720176375514,0.10046219687680784,1.447088023320892
"(0.32597130978678723, 0.9669591544302656, 0.5792068367609684, 0.11281060507029853)",132997.25021392855,17713.473306598942,0.32597130978678723,0.9669591544302656,0.5792068367609684,0.11281060507029853
"(0.11593292948065381, 2.892847946112324, 0.20104530390826486, 1.3414973043614473)",128587.74619568813,21203.786592119195,0.11593292948065381,2.892847946112324,0.20104530390826486,1.3414973043614473
"(0.586487482189762, 1.9281891923732863, 0.1866943824732429, 0.17193253242298945)",136888.4615806497,13484.087800120842,0.586487482189762,1.9281891923732863,0.1866943824732429,0.17193253242298945
"(1.1975859079733713, 2.6384005667696293, 0.29589388231361535, 0.3093102497327571)",145085.23161117788,12536.466142953092,1.1975859079733713,2.6384005667696293,0.29589388231361535,0.3093102497327571
"(0.21391360255453618, 2.3700893074917477, 0.7075399734606223, 0.10567990704231106)",131386.1609004001,18704.38135848411,0.21391360255453618,2.3700893074917477,0.7075399734606223,0.10567990704231106
"(0.0017043877768333493, 2.0567766973137314, 1.3847676362321129, 0.48328191670237053)",126963.01408165555,24111.678135269158,0.0017043877768333493,2.0567766973137314,1.3847676362321129,0.48328191670237053
"(0.06346803426988046, 1.5695038822331382, 1.3456054149562047, 0.3200431599828523)",127917.76461567436,22622.692417262082,0.06346803426988046,1.5695038822331382,1.3456054149562047,0.3200431599828523
"(0.03305000215268539, 1.533917860238085, 1.5129234146181234, 1.5475950391468596)",124931.1254048208,26116.85455632686,0.03305000215268539,1.533917860238085,1.5129234146181234,1.5475950391468596
"(0.5358125270913532, 1.4235902675636725, 0.2540526030407909, 0.3072513903830909)",136063.66453245553,14744.163953742156,0.5358125270913532,1.4235902675636725,0.2540526030407909,0.3072513903830909
"(0.23446841965616483, 2.8407486852719415, 0.21066713642908227, 0.47683647351006775)",131886.42829256185,18036.249594043107,0.23446841965616483,2.8407486852719415,0.21066713642908227,0.47683647351006775
