datetime_local,T_out_baseline_C,T_out_2040_C
2014-06-23 07:00:00,29.12,30.62
2014-06-23 08:00:00,29.17,30.67
2014-06-23 09:00:00,29.31,30.81
2014-06-23 10:00:00,29.4,30.9
2014-06-23 11:00:00,29.49,30.99
2014-06-23 12:00:00,29.51,31.01
2014-06-23 13:00:00,29.5,31.0
2014-06-23 14:00:00,29.42,30.92
2014-06-23 15:00:00,29.44,30.94
2014-06-23 16:00:00,29.55,31.05
2014-06-23 17:00:00,29.49,30.99
2014-06-23 18:00:00,30.04,31.54
2014-06-23 19:00:00,30.04,31.54
2014-06-23 20:00:00,30.04,31.54
2014-06-23 21:00:00,30.02,31.52
2014-06-23 22:00:00,29.99,31.49
2014-06-23 23:00:00,29.95,31.45
