datetime_local,T_out_2040_C,T_air_with_cooling_C,T_air_no_cooling_C,P_cool_el_kW
2014-06-17 04:00:00,30.33,26.0,33.564876647532216,5.827777517614525
2014-06-17 05:00:00,30.31,26.0,33.5379421258503,5.755624746340833
2014-06-17 06:00:00,30.73,26.0,33.51239396270993,6.051525794348982
2014-06-17 07:00:00,30.7,26.0,33.50773496056886,5.973779316156925
2014-06-17 08:00:00,30.71,26.0,33.49962074569078,7.45311101633197
2014-06-17 09:00:00,30.76,26.0,33.5727939701415,7.790444598349352
2014-06-17 10:00:00,30.8,26.0,33.64970972517514,8.13363914942555
2014-06-17 11:00:00,30.87,26.0,33.73023422685087,8.478702586837908
2014-06-17 12:00:00,30.87,26.0,33.8140512531891,8.653949753787561
2014-06-17 13:00:00,30.83,26.0,33.891641615735224,8.550517255272412
2014-06-17 14:00:00,30.86,26.0,33.94946876810916,8.823839802369443
2014-06-17 15:00:00,30.87,26.0,34.01199846598099,8.981520835086533
2014-06-17 16:00:00,30.65,26.0,34.07225543745681,8.446152252860413
2014-06-17 17:00:00,30.26,26.0,34.09345752662088,7.524414224324733
2014-06-17 18:00:00,31.01,26.0,34.06254232080215,7.419571651538232
2014-06-17 19:00:00,31.07,26.0,34.03381978081846,7.0305232744534685
2014-06-17 20:00:00,31.05,26.0,33.99135364888728,6.9403565082751975
2014-06-17 21:00:00,30.71,26.0,33.95381421977442,6.5887225955683135
2014-06-17 22:00:00,30.48,26.0,33.90592444221139,6.330462864012439
2014-06-17 23:00:00,30.37,26.0,33.85457112471499,6.173867959078797
2014-06-18 00:00:00,30.14,26.0,33.8057113720703,5.918896260101824
2014-06-18 01:00:00,29.77,26.0,33.75333062249214,5.54884052026594
2014-06-18 02:00:00,28.73,26.0,33.6916997125276,4.621994507259294
2014-06-18 03:00:00,28.76,26.0,33.592346355804956,4.588319644577808
2014-06-18 04:00:00,29.25,26.0,33.5106188253847,4.939444986796692
2014-06-18 05:00:00,29.38,26.0,33.46348496200662,4.992000528793443
2014-06-18 06:00:00,28.02,26.0,33.42777735239316,3.8042838489069446
2014-06-18 07:00:00,27.59,26.0,33.3341314963124,3.3929267526842692
2014-06-18 08:00:00,27.82,26.0,33.23565397904797,4.178837647709567
2014-06-18 09:00:00,28.19,26.0,33.197610257095846,5.091393537310373
2014-06-18 10:00:00,28.66,26.0,33.21471549210962,6.330899395621841
2014-06-18 11:00:00,29.19,26.0,33.29376696150531,7.078899935200646
2014-06-18 12:00:00,29.3,26.0,33.396249296026674,7.328157589670617
2014-06-18 13:00:00,29.43,26.0,33.490996457375545,8.015122929843573
2014-06-18 14:00:00,29.51,26.0,33.603567603885026,7.857488169357154
2014-06-18 15:00:00,29.69,26.0,33.6852538660369,7.7986748755016215
2014-06-18 16:00:00,29.82,26.0,33.747846828121425,7.4945274433973985
2014-06-18 17:00:00,30.0,26.0,33.78212767769636,7.320630940272417
2014-06-18 18:00:00,29.99,26.0,33.80087761356301,6.525022332226038
2014-06-18 19:00:00,30.19,26.0,33.77366765683645,6.266933901247786
2014-06-18 20:00:00,30.3,26.0,33.73853990815016,6.285856869396594
2014-06-18 21:00:00,30.36,26.0,33.71187708910763,6.268293780995006
2014-06-18 22:00:00,30.24,26.0,33.68991173285779,6.102419769803461
2014-06-18 23:00:00,30.02,26.0,33.66360789325766,5.854859275558373
2014-06-19 00:00:00,30.16,26.0,33.6293097476701,5.9089044603360845
2014-06-19 01:00:00,30.25,26.0,33.60475813523189,5.922848515494348
2014-06-19 02:00:00,30.12,26.0,33.585754904063954,5.754985635940327
2014-06-19 03:00:00,30.16,26.0,33.56130828085083,5.7302776617084845
2014-06-19 04:00:00,30.15,26.0,33.54014094047752,5.665354053499109
2014-06-19 05:00:00,30.27,26.0,33.51935394317039,5.710178535494968
2014-06-19 06:00:00,29.62,26.0,33.50472617671278,5.114715738774266
2014-06-19 07:00:00,29.77,26.0,33.460410995689784,5.187264511971573
2014-06-19 08:00:00,29.89,26.0,33.42822483754304,6.663456782992231
2014-06-19 09:00:00,30.08,26.0,33.48144386154471,7.0250851402307255
2014-06-19 10:00:00,30.18,26.0,33.543121545271696,7.807630658732092
2014-06-19 11:00:00,30.34,26.0,33.63455483717289,8.016397919607357
2014-06-19 12:00:00,30.47,26.0,33.719200526593944,8.704085559000122
2014-06-19 13:00:00,30.58,26.0,33.824592559869224,8.961579687191614
2014-06-19 14:00:00,30.71,26.0,33.923769443658514,9.066961172385435
2014-06-19 15:00:00,30.76,26.0,34.010113479162484,8.814524343629087
2014-06-19 16:00:00,30.81,26.0,34.067156395061346,8.390099861242893
2014-06-19 17:00:00,30.86,26.0,34.091619177613445,8.11023054451507
2014-06-19 18:00:00,31.14,26.0,34.09783828876901,7.566174033981987
2014-06-19 19:00:00,31.23,26.0,34.07515588356185,7.211437038472526
2014-06-19 20:00:00,31.3,26.0,34.03941207661376,7.1947445597625235
2014-06-19 21:00:00,31.33,26.0,34.01128140297684,7.150292612435124
2014-06-19 22:00:00,31.15,26.0,33.987607638953854,6.9325769637909085
2014-06-19 23:00:00,31.03,26.0,33.958025661437574,6.766554206362802
2014-06-20 00:00:00,30.78,26.0,33.92635941038105,6.493848684537062
2014-06-20 01:00:00,30.37,26.0,33.88711570568785,6.089419134090305
2014-06-20 02:00:00,30.45,26.0,33.83451596169047,6.094891989071377
2014-06-20 03:00:00,30.57,26.0,33.79313140620362,6.135228022677929
2014-06-20 04:00:00,30.53,26.0,33.762443872466974,6.04372232211098
2014-06-20 05:00:00,29.85,26.0,33.73308157332041,5.4203375973915415
2014-06-20 06:00:00,30.69,26.0,33.675942480629566,6.0650374907900835
2014-06-20 07:00:00,30.62,26.0,33.66480552156072,5.952786553520334
2014-06-20 08:00:00,30.62,26.0,33.64960950819631,7.3841450172968734
2014-06-20 09:00:00,30.6,26.0,33.71446333045151,7.642716742184638
2014-06-20 10:00:00,30.65,26.0,33.780374970031126,7.829154486430572
2014-06-20 11:00:00,30.75,26.0,33.8434925834477,8.269562204049752
2014-06-20 12:00:00,30.82,26.0,33.91832277537946,8.397971991375575
2014-06-20 13:00:00,30.85,26.0,33.98596443342091,8.697982505755236
2014-06-20 14:00:00,30.93,26.0,34.0573546435358,8.45333764239452
2014-06-20 15:00:00,30.9,26.0,34.102586251199114,8.52756616203059
2014-06-20 16:00:00,30.88,26.0,34.1442227270801,8.124248794202847
2014-06-20 17:00:00,30.97,26.0,34.15731684519071,8.039755617778532
2014-06-20 18:00:00,31.01,26.0,34.16477311109428,7.286128911286933
2014-06-20 19:00:00,30.87,26.0,34.13156984498168,6.772583968912188
2014-06-20 20:00:00,30.83,26.0,34.07859077480587,6.667023746743324
2014-06-20 21:00:00,30.81,26.0,34.03156182035405,6.584306486408077
2014-06-20 22:00:00,30.88,26.0,33.990324571259976,6.578240490914541
2014-06-20 23:00:00,30.92,26.0,33.9576852599187,6.548784478641682
2014-06-21 00:00:00,30.98,26.0,33.93052748192983,6.537564866675638
2014-06-21 01:00:00,31.03,26.0,33.908627019181104,6.519542411675417
2014-06-21 02:00:00,30.95,26.0,33.89047531481993,6.394678851383528
2014-06-21 03:00:00,30.88,26.0,33.86947853002163,6.279603546765602
2014-06-21 04:00:00,30.82,26.0,33.84664300314979,6.17428012476313
2014-06-21 05:00:00,30.76,26.0,33.82276812884347,6.070339788310718
2014-06-21 06:00:00,31.06,26.0,33.79804075350601,6.267747960269616
2014-06-21 07:00:00,31.03,26.0,33.788807786597836,6.191470927929545
2014-06-21 08:00:00,30.99,26.0,33.77717577656177,7.734405178206498
2014-06-21 09:00:00,31.01,26.0,33.85101733524137,7.836082607671034
2014-06-21 10:00:00,30.99,26.0,33.9157964564445,8.033718249845975
2014-06-21 11:00:00,31.04,26.0,33.97874281267859,8.537295670062564
2014-06-21 12:00:00,31.08,26.0,34.05697439985667,8.637699720888238
2014-06-21 13:00:00,31.12,26.0,34.12596612009048,8.610176943277196
2014-06-21 14:00:00,31.18,26.0,34.18089023030522,8.573822084953548
2014-06-21 15:00:00,31.19,26.0,34.22424990091155,8.434286551939168
2014-06-21 16:00:00,31.2,26.0,34.25290668350731,8.329376260048615
2014-06-21 17:00:00,31.16,26.0,34.27172782387651,8.089172004939634
2014-06-21 18:00:00,31.53,26.0,34.275397421520715,7.651088993374696
2014-06-21 19:00:00,31.48,26.0,34.2562179134635,7.192799225099097
2014-06-21 20:00:00,31.38,26.0,34.217529397733834,7.039441954860806
2014-06-21 21:00:00,31.33,26.0,34.17949309667306,6.933872572655955
2014-06-21 22:00:00,31.33,26.0,34.14438256127321,6.8715674250062255
2014-06-21 23:00:00,31.28,26.0,34.113790663927574,6.769153239381068
2014-06-22 00:00:00,31.26,26.0,34.08451280361654,6.693257741729873
2014-06-22 01:00:00,31.17,26.0,34.057588058077016,6.5605096315199605
