dN_m,dS_m,etaE_rad,etaW_rad,material_m,E_cool_th_kWh,E_cool_el_kWh,E_cool_th_2040_kWh,E_cool_el_2040_kWh,E_pv_el_kWh,MNZ_kWh,obj1_E_cool_el_kWh,obj2_neg_MNZ_kWh
2.32186814566789,2.528195906419416,1.1526669568683583,0.7695502763093545,2,80468.56099828717,26822.85366609572,113225.05631517763,37741.685438392546,453690.62928,415948.9438416074,26822.85366609572,-415948.9438416074
1.3166353192561568,1.3391684764311285,0.6249599259680293,0.27472124466823805,2,75998.7833402406,25332.927780080197,108750.66119176029,36250.220397253426,453690.62928,417440.4088827466,25332.927780080197,-417440.4088827466
2.5757937597341476,2.8589254846803103,1.3522457479474201,0.9366849373060012,1,97279.90135937317,32426.63378645772,149689.21756137878,49896.40585379293,453690.62928,403794.2234262071,32426.63378645772,-403794.2234262071
2.092104087178092,1.9523837691532102,0.45423642558678246,0.32995037720904685,2,74173.28461946317,24724.428206487722,106916.7948055814,35638.931601860466,453690.62928,418051.69767813955,24724.428206487722,-418051.69767813955
0.2825320436629486,0.34769659595774827,0.8914384304273383,0.1896087508298483,2,93067.30676698833,31022.43558899611,125854.43006658433,41951.47668886145,453690.62928,411739.15259113855,31022.43558899611,-411739.15259113855
2.926867054910268,2.6552789646804023,0.3706846492092982,0.8330417151404255,1,92826.54203261685,30942.180677538952,145223.14088360392,48407.713627867975,453690.62928,405282.915652132,30942.180677538952,-405282.915652132
2.283419105971059,1.4677955724923932,0.8280919060871877,1.063398971568543,1,97602.52062184314,32534.17354061438,150010.37870744214,50003.45956914738,453690.62928,403687.1697108526,32534.17354061438,-403687.1697108526
2.3581929158308617,0.42491690391871495,0.3241257681982277,1.3555965404173977,1,104263.18647338601,34754.39549112867,156669.95334294697,52223.317780982325,453690.62928,401467.31149901764,34754.39549112867,-401467.31149901764
0.3843408980266376,0.45807040152426215,0.3375205778261372,1.2507682643128264,2,93907.44233718663,31302.48077906221,126694.60626729489,42231.53542243163,453690.62928,411459.09385756834,31302.48077906221,-411459.09385756834
1.3511578136867013,2.0626018053296153,0.999968364251763,1.360143553752126,2,83879.56714326346,27959.85571442115,116645.8848641447,38881.96162138157,453690.62928,414808.6676586184,27959.85571442115,-414808.6676586184
1.1123940726977437,0.14211752018846935,0.4877654819983771,1.2173010931067092,1,112127.1120978982,37375.70403263273,164542.63327496243,54847.54442498748,453690.62928,398843.08485501254,37375.70403263273,-398843.08485501254
2.7802949665458057,0.8597812947414398,0.3533798230494435,1.133761913452025,2,81575.86210636553,27191.954035455175,114327.80540786234,38109.268469287446,453690.62928,415581.36081071256,27191.954035455175,-415581.36081071256
1.9315953602419937,0.4193627714096043,1.4667593276985575,0.11490222663682846,1,100471.47673165082,33490.49224388361,152874.4450370644,50958.14834568813,453690.62928,402732.48093431187,33490.49224388361,-402732.48093431187
2.46828483981249,1.3232322888518526,0.1632147785878751,1.0203703983595394,2,78402.16518881885,26134.055062939617,111153.54346110552,37051.181153701844,453690.62928,416639.44812629814,26134.055062939617,-416639.44812629814
1.3302425964819933,1.243061315983084,0.9307677256629541,0.277108252084503,1,93067.21135174231,31022.403783914106,145470.6610861033,48490.22036203443,453690.62928,405200.40891796554,31022.403783914106,-405200.40891796554
0.6817161653543307,1.5656293040665679,0.9059478474948999,0.18624068452883535,2,78679.38302453257,26226.46100817752,111455.27027271385,37151.75675757128,453690.62928,416538.8725224287,26226.46100817752,-416538.8725224287
1.6637543610475043,0.8389089873075907,0.4683950453724979,0.32992586359531345,1,92563.12244231993,30854.374147439976,144957.19703956528,48319.06567985509,453690.62928,405371.56360014493,30854.374147439976,-405371.56360014493
0.19145176831252597,0.09613076813453159,0.7655744653158422,1.3102394773193728,2,107569.20013599112,35856.400045330374,140360.14330087163,46786.71443362388,453690.62928,406903.9148463761,35856.400045330374,-406903.9148463761
2.482893515977746,1.8431583196055574,0.22897454113147414,1.1934586078570315,1,94519.52862943769,31506.509543145894,146922.73403394187,48974.24467798063,453690.62928,404716.3846020194,31506.509543145894,-404716.3846020194
1.8949931973661944,1.121154008647054,1.1602671145081118,1.4946954356516622,2,85545.98693374873,28515.328977916244,118311.03407640435,39437.01135880145,453690.62928,414253.61792119854,28515.328977916244,-414253.61792119854
2.2742632202561213,1.9540049962201391,0.4258948081139301,1.5390951002161035,1,96806.10236486353,32268.700788287842,149214.13189424053,49738.043964746845,453690.62928,403952.5853152531,32268.700788287842,-403952.5853152531
1.063577904389605,0.3260009124128054,0.38427647894503725,1.4131274599697536,2,92318.9153902456,30772.971796748534,125084.68756487113,41694.895854957045,453690.62928,411995.73342504294,30772.971796748534,-411995.73342504294
2.9120940731847096,0.04133206588215099,0.5628713630679295,0.2954012949361888,2,92187.09284842668,30729.03094947556,124929.73620224705,41643.245400749016,453690.62928,412047.38387925096,30729.03094947556,-412047.38387925096
2.6793633639665932,0.7448827436558783,1.4264837827868189,1.3912226291597212,2,87755.14919337326,29251.716397791086,120519.47639496054,40173.15879832018,453690.62928,413517.47048167983,29251.716397791086,-413517.47048167983
2.3351504912212855,1.3696419689821566,1.2708059729768078,1.3327965881393087,1,100134.86165575762,33378.28721858587,152549.21575375894,50849.73858458631,453690.62928,402840.8906954137,33378.28721858587,-402840.8906954137
0.5839161235559027,1.1822159225054019,1.4919316679666237,1.380496213993755,2,89392.46474429451,29797.488248098172,122178.4349445732,40726.1449815244,453690.62928,412964.4842984756,29797.488248098172,-412964.4842984756
