x,E_heat_kWh,E_cool_kWh,dN_m,dS_m,etaE_rad,etaW_rad
"(0.12484252158567744, 1.1358627823035556, 1.5648627316628014, 0.1974798419028332)",40354.70224333837,142891.23012354795,0.12484252158567744,1.1358627823035556,1.5648627316628014,0.1974798419028332
"(0.0684116130890925, 1.5954715673338027, 0.12994165631603516, 0.46295658004737394)",41026.96890571407,139523.88992939444,0.0684116130890925,1.5954715673338027,0.12994165631603516,0.46295658004737394
"(0.0634440490093201, 2.6080854806355713, 1.212696413835562, 0.14126291751351674)",40390.364309992845,142416.59871545192,0.0634440490093201,2.6080854806355713,1.212696413835562,0.14126291751351674
"(0.13042518603837583, 1.2606674370973145, 0.11080176442446615, 1.2315383130624318)",40887.25149431021,140928.13866884168,0.13042518603837583,1.2606674370973145,0.11080176442446615,1.2315383130624318
"(0.15588559939531277, 2.124553460277352, 0.19595753468362997, 1.4649363597027913)",40670.07591002488,141235.55254749465,0.15588559939531277,2.124553460277352,0.19595753468362997,1.4649363597027913
"(0.8116048227305271, 0.980695055630968, 0.27467648712517817, 0.1758632675092261)",48363.25166581365,127017.02789960991,0.8116048227305271,0.980695055630968,0.27467648712517817,0.1758632675092261
"(2.3438821062945476, 2.259219820861529, 0.12855149844634844, 0.1035447542245661)",64164.07316386695,119622.53506380405,2.3438821062945476,2.259219820861529,0.12855149844634844,0.1035447542245661
"(0.1081795028320911, 2.4471919066531704, 1.3707420614353147, 1.5318008011547748)",39249.16919416034,148413.13011132806,0.1081795028320911,2.4471919066531704,1.3707420614353147,1.5318008011547748
"(0.9486424554721293, 2.769908070773636, 0.25759994341440673, 0.335883054210118)",49832.27616871242,126278.25282435618,0.9486424554721293,2.769908070773636,0.25759994341440673,0.335883054210118
"(0.02194336887904691, 0.8861723841295519, 0.41066949609510806, 1.5692916219659956)",39281.993596216125,148254.47800850405,0.02194336887904691,0.8861723841295519,0.41066949609510806,1.5692916219659956
"(0.327846873343674, 1.2857787547527495, 0.17795758635767017, 0.48648368602940095)",43476.348505214766,134018.8950941009,0.327846873343674,1.2857787547527495,0.17795758635767017,0.48648368602940095
"(0.013500374818977368, 2.1882313787979126, 1.4500424307437407, 0.20583377622354082)",39513.005161003915,145498.19393406538,0.013500374818977368,2.1882313787979126,1.4500424307437407,0.20583377622354082
"(0.4031007399391845, 2.236943973713573, 0.21400096116435557, 0.15301218287639642)",44217.87762638382,129761.90652541902,0.4031007399391845,2.236943973713573,0.21400096116435557,0.15301218287639642
"(0.003699187535724402, 2.294436001833386, 0.5203096747903057, 0.11243843306131643)",40435.26286729333,141252.43418681636,0.003699187535724402,2.294436001833386,0.5203096747903057,0.11243843306131643
"(1.4685060195216244, 2.348284044168307, 0.15355496254549583, 0.2446621033564688)",55642.23304077695,122371.26727934211,1.4685060195216244,2.348284044168307,0.15355496254549583,0.2446621033564688
"(1.1371580851119156, 2.243369169439994, 0.1341928469789986, 0.41608188194464324)",51918.65215285458,124743.85669429235,1.1371580851119156,2.243369169439994,0.1341928469789986,0.41608188194464324
"(0.1503200690908013, 1.6466627670197012, 0.37878018087574317, 0.18017896796311206)",41788.27615405901,137175.52166514815,0.1503200690908013,1.6466627670197012,0.37878018087574317,0.18017896796311206
"(1.685456790188998, 2.3697179452067627, 0.11096095419299046, 0.10140434013251638)",57958.66696395751,119746.62436313216,1.685456790188998,2.3697179452067627,0.11096095419299046,0.10140434013251638
"(0.33553440714203153, 0.9971314051084939, 0.5510457446130751, 0.10996895111991829)",43549.30030515138,133788.0888964407,0.33553440714203153,0.9971314051084939,0.5510457446130751,0.10996895111991829
"(1.3836266575127214, 2.529174722897254, 0.18142633072148756, 0.2998750033887465)",54701.13509827768,123348.79377006415,1.3836266575127214,2.529174722897254,0.18142633072148756,0.2998750033887465
"(0.2782682322734843, 1.8124026156512136, 0.587764559128826, 0.1320530233373643)",42999.92504138957,134772.8912250374,0.2782682322734843,1.8124026156512136,0.587764559128826,0.1320530233373643
"(0.2579470503328354, 1.4745395191585198, 0.1047153053072205, 1.114211843529747)",42319.815210363486,137151.74710086494,0.2579470503328354,1.4745395191585198,0.1047153053072205,1.114211843529747
"(0.14837741143804706, 1.2501123092473896, 0.1289868476968841, 0.6914230771681703)",41757.75287612258,138808.01912864204,0.14837741143804706,1.2501123092473896,0.1289868476968841,0.6914230771681703
"(0.2004772641043887, 2.115720176375514, 0.10046219687680784, 1.447088023320892)",41113.75022168699,138856.15431858806,0.2004772641043887,2.115720176375514,0.10046219687680784,1.447088023320892
"(1.4070152370380167, 2.2384006671879284, 0.31047276321449024, 0.12873845831517033)",54962.8589738564,122957.5131136315,1.4070152370380167,2.2384006671879284,0.31047276321449024,0.12873845831517033
"(0.32597130978678723, 0.9669591544302656, 0.5792068367609684, 0.11281060507029853)",43456.086548221196,134208.5357959807,0.32597130978678723,0.9669591544302656,0.5792068367609684,0.11281060507029853
"(0.586487482189762, 1.9281891923732863, 0.1866943824732429, 0.17193253242298945)",46047.675155361074,127440.73854708964,0.586487482189762,1.9281891923732863,0.1866943824732429,0.17193253242298945
"(0.21391360255453618, 2.3700893074917477, 0.7075399734606223, 0.10567990704231106)",42373.670297060955,136145.95730414634,0.21391360255453618,2.3700893074917477,0.7075399734606223,0.10567990704231106
"(0.0017043877768333493, 2.0567766973137314, 1.3847676362321129, 0.48328191670237053)",39502.994147128215,148104.08307200592,0.0017043877768333493,2.0567766973137314,1.3847676362321129,0.48328191670237053
"(0.9490843720101455, 2.773857535449653, 0.14049500329844056, 0.6636710284525372)",49826.292908469564,126972.37090731031,0.9490843720101455,2.773857535449653,0.14049500329844056,0.6636710284525372
"(0.03305000215268539, 1.533917860238085, 1.5129234146181234, 1.5475950391468596)",38342.08948832204,151580.6466444733,0.03305000215268539,1.533917860238085,1.5129234146181234,1.5475950391468596
"(0.05531340862558143, 0.41655416025248926, 1.3898557846868447, 0.10698477109484639)",39978.44644125895,145071.93841928584,0.05531340862558143,0.41655416025248926,1.3898557846868447,0.10698477109484639
"(0.23446841965616483, 2.8407486852719415, 0.21066713642908227, 0.47683647351006775)",42583.53507997181,135349.02690078242,0.23446841965616483,2.8407486852719415,0.21066713642908227,0.47683647351006775
