x,E_heat_kWh,E_cool_kWh,dN_m,dS_m,etaE_rad,etaW_rad
"(2.32186814566789, 2.528195906419416, 1.1526669568683583, 0.7695502763093545)",172175.0158959794,55.798353853223716,2.32186814566789,2.528195906419416,1.1526669568683583,0.7695502763093545
"(1.3166353192561568, 1.3391684764311285, 0.6249599259680293, 0.27472124466823805)",168565.36951787432,23.872113409206893,1.3166353192561568,1.3391684764311285,0.6249599259680293,0.27472124466823805
"(2.5757937597341476, 2.8589254846803103, 1.3522457479474201, 0.9366849373060012)",172291.14984965173,64.28584887309391,2.5757937597341476,2.8589254846803103,1.3522457479474201,0.9366849373060012
"(2.092104087178092, 1.9523837691532102, 0.45423642558678246, 0.32995037720904685)",173281.61536498522,14.746532054298616,2.092104087178092,1.9523837691532102,0.45423642558678246,0.32995037720904685
"(0.2825320436629486, 0.34769659595774827, 0.8914384304273383, 0.1896087508298483)",158588.02751682026,138.64996195521158,0.2825320436629486,0.34769659595774827,0.8914384304273383,0.1896087508298483
"(2.926867054910268, 2.6552789646804023, 0.3706846492092982, 0.8330417151404255)",175299.38939298698,27.838100023923513,2.926867054910268,2.6552789646804023,0.3706846492092982,0.8330417151404255
"(2.283419105971059, 1.4677955724923932, 0.8280919060871877, 1.063398971568543)",171797.1188645722,66.54494835580356,2.283419105971059,1.4677955724923932,0.8280919060871877,1.063398971568543
"(2.3581929158308617, 0.42491690391871495, 0.3241257681982277, 1.3555965404173977)",171876.9399393213,62.99653548816288,2.3581929158308617,0.42491690391871495,0.3241257681982277,1.3555965404173977
"(0.3843408980266376, 0.45807040152426215, 0.3375205778261372, 1.2507682643128264)",158530.13000920127,143.86472426017798,0.3843408980266376,0.45807040152426215,0.3375205778261372,1.2507682643128264
"(1.3511578136867013, 2.0626018053296153, 0.999968364251763, 1.360143553752126)",166080.70733634103,70.48730130211455,1.3511578136867013,2.0626018053296153,0.999968364251763,1.360143553752126
"(1.1123940726977437, 0.14211752018846935, 0.4877654819983771, 1.2173010931067092)",164919.74466752124,89.33583374421055,1.1123940726977437,0.14211752018846935,0.4877654819983771,1.2173010931067092
"(2.7802949665458057, 0.8597812947414398, 0.3533798230494435, 1.133761913452025)",173844.0369371072,51.95456019485874,2.7802949665458057,0.8597812947414398,0.3533798230494435,1.133761913452025
"(1.9315953602419937, 0.4193627714096043, 1.4667593276985575, 0.11490222663682846)",170584.0258885416,45.296180736953396,1.9315953602419937,0.4193627714096043,1.4667593276985575,0.11490222663682846
"(2.46828483981249, 1.3232322888518526, 0.1632147785878751, 1.0203703983595394)",173426.39626354523,23.740598312372935,2.46828483981249,1.3232322888518526,0.1632147785878751,1.0203703983595394
"(1.3302425964819933, 1.243061315983084, 0.9307677256629541, 0.277108252084503)",168056.7087418672,34.757432381392825,1.3302425964819933,1.243061315983084,0.9307677256629541,0.277108252084503
"(0.6817161653543307, 1.5656293040665679, 0.9059478474948999, 0.18624068452883535)",162682.34631939954,41.73040272733114,0.6817161653543307,1.5656293040665679,0.9059478474948999,0.18624068452883535
"(1.6637543610475043, 0.8389089873075907, 0.4683950453724979, 0.32992586359531345)",170862.10590033862,28.430825195267108,1.6637543610475043,0.8389089873075907,0.4683950453724979,0.32992586359531345
"(0.19145176831252597, 0.09613076813453159, 0.7655744653158422, 1.3102394773193728)",156108.3205439386,307.16641386231316,0.19145176831252597,0.09613076813453159,0.7655744653158422,1.3102394773193728
"(2.482893515977746, 1.8431583196055574, 0.22897454113147414, 1.1934586078570315)",173153.21354983508,27.914869511582204,2.482893515977746,1.8431583196055574,0.22897454113147414,1.1934586078570315
"(1.8949931973661944, 1.121154008647054, 1.1602671145081118, 1.4946954356516622)",168540.12335884589,92.04190688208793,1.8949931973661944,1.121154008647054,1.1602671145081118,1.4946954356516622
"(2.2742632202561213, 1.9540049962201391, 0.4258948081139301, 1.5390951002161035)",171475.1763777631,48.22643177077874,2.2742632202561213,1.9540049962201391,0.4258948081139301,1.5390951002161035
"(1.063577904389605, 0.3260009124128054, 0.38427647894503725, 1.4131274599697536)",164293.2776078246,73.83315187923732,1.063577904389605,0.3260009124128054,0.38427647894503725,1.4131274599697536
"(2.9120940731847096, 0.04133206588215099, 0.5628713630679295, 0.2954012949361888)",175394.3702203639,53.53956653297313,2.9120940731847096,0.04133206588215099,0.5628713630679295,0.2954012949361888
"(2.6793633639665932, 0.7448827436558783, 1.4264837827868189, 1.3912226291597212)",171161.11335403525,103.33520221639657,2.6793633639665932,0.7448827436558783,1.4264837827868189,1.3912226291597212
"(2.3351504912212855, 1.3696419689821566, 1.2708059729768078, 1.3327965881393087)",170579.4489844901,85.7107884058438,2.3351504912212855,1.3696419689821566,1.2708059729768078,1.3327965881393087
"(0.5839161235559027, 1.1822159225054019, 1.4919316679666237, 1.380496213993755)",158623.8123034681,137.05455093501698,0.5839161235559027,1.1822159225054019,1.4919316679666237,1.380496213993755
"(1.4001630111811025, 2.430907665820399, 1.0583846486686357, 0.3229778571612424)",168451.73782863867,31.02112633534187,1.4001630111811025,2.430907665820399,1.0583846486686357,0.3229778571612424
"(0.13141129736168633, 1.1335129325784719, 1.0744946212171689, 0.27168398682677675)",157035.18243089074,181.37441971126154,0.13141129736168633,1.1335129325784719,1.0744946212171689,0.27168398682677675
"(0.4628684762026435, 1.5913235388092368, 0.805645569156539, 1.4579990529886)",158567.8636540175,137.8181879437989,0.4628684762026435,1.5913235388092368,0.805645569156539,1.4579990529886
"(2.049146859727364, 1.7805467773265766, 1.430623895349454, 0.3555251742277217)",171278.53403527933,42.02502055940866,2.049146859727364,1.7805467773265766,1.430623895349454,0.3555251742277217
"(2.2342864677234515, 0.06549417493743481, 0.8509894094273837, 0.6418739446326237)",172102.97180665945,92.05922778264849,2.2342864677234515,0.06549417493743481,0.8509894094273837,0.6418739446326237
"(2.90252919730263, 1.545400130538567, 0.6219383040686862, 0.7702977287562686)",174952.77186053604,47.18065842711239,2.90252919730263,1.545400130538567,0.6219383040686862,0.7702977287562686
"(0.9774760744144558, 1.0344937781965136, 1.0413512645789678, 0.2829305159094597)",164940.2474302805,40.99127108964284,0.9774760744144558,1.0344937781965136,1.0413512645789678,0.2829305159094597
"(1.1113791181046067, 1.263840383049764, 0.9028250552994163, 0.1303324034078447)",166580.22803819054,24.556955300623695,1.1113791181046067,1.263840383049764,0.9028250552994163,0.1303324034078447
"(1.4086674338274237, 0.30086219548575077, 0.28230912850554635, 1.5613129905576608)",166718.15917351225,68.19856644098935,1.4086674338274237,0.30086219548575077,0.28230912850554635,1.5613129905576608
"(0.5684140772528571, 2.3484616969459355, 0.6773063584512714, 1.3886861499073928)",159937.3845966524,100.3206212879075,0.5684140772528571,2.3484616969459355,0.6773063584512714,1.3886861499073928
"(0.38976451600641493, 2.8272127524255675, 0.5605883543088855, 1.441136756145437)",158340.33133240047,130.66761597121254,0.38976451600641493,2.8272127524255675,0.5605883543088855,1.441136756145437
"(1.4271147786778013, 0.06680646188880002, 1.3448456492663639, 0.5183077118300142)",167272.63386571629,96.91800085644189,1.4271147786778013,0.06680646188880002,1.3448456492663639,0.5183077118300142
