x,E_heat_kWh,E_cool_kWh,dN_m,dS_m,etaE_rad,etaW_rad
"(0.17490822506719805, 1.1696684066178271, 0.1427352728281316, 1.29198480632862)",156847.79167552383,152.2221427654963,0.17490822506719805,1.1696684066178271,0.1427352728281316,1.29198480632862
"(0.12484252158567744, 1.1358627823035556, 1.5648627316628014, 0.1974798419028332)",156278.72679620128,191.64924459573103,0.12484252158567744,1.1358627823035556,1.5648627316628014,0.1974798419028332
"(0.0684116130890925, 1.5954715673338027, 0.12994165631603516, 0.46295658004737394)",157469.90686400057,130.74214302830532,0.0684116130890925,1.5954715673338027,0.12994165631603516,0.46295658004737394
"(0.3464701909960649, 2.1702941051318594, 1.2658267660616813, 0.15488208668091275)",159010.2581470496,95.84304691302951,0.3464701909960649,2.1702941051318594,1.2658267660616813,0.15488208668091275
"(0.7481627274966355, 2.1113330836206736, 0.2907430694063352, 0.22735961267411553)",164249.51697847014,6.733032201514753,0.7481627274966355,2.1113330836206736,0.2907430694063352,0.22735961267411553
"(0.15588559939531277, 2.124553460277352, 0.19595753468362997, 1.4649363597027913)",156458.43969197682,153.51523970396613,0.15588559939531277,2.124553460277352,0.19595753468362997,1.4649363597027913
"(0.2852872446898038, 2.6047093208486993, 0.12679967729380595, 0.7283132063247671)",159184.0438109327,85.55338447954762,0.2852872446898038,2.6047093208486993,0.12679967729380595,0.7283132063247671
"(0.5138739122783664, 2.5608905194402016, 0.20047139888157228, 1.451325814152264)",159806.06388954225,71.77721799006525,0.5138739122783664,2.5608905194402016,0.20047139888157228,1.451325814152264
"(0.2631270357323052, 2.6590044717990704, 1.5388487220371507, 0.2897019166604371)",157676.23663201818,129.25663161166239,0.2631270357323052,2.6590044717990704,1.5388487220371507,0.2897019166604371
"(0.402283829618296, 1.5592609790875294, 0.15953345934205054, 0.9356029947223061)",159741.82367153317,82.9283105586704,0.402283829618296,1.5592609790875294,0.15953345934205054,0.9356029947223061
"(0.1081795028320911, 2.4471919066531704, 1.3707420614353147, 1.5318008011547748)",154503.09417770174,305.13833083147193,0.1081795028320911,2.4471919066531704,1.3707420614353147,1.5318008011547748
"(0.9486424554721293, 2.769908070773636, 0.25759994341440673, 0.335883054210118)",166071.1207499224,2.497474642870109,0.9486424554721293,2.769908070773636,0.25759994341440673,0.335883054210118
"(0.5427799566926044, 1.9312213962728193, 0.10239734601590136, 1.3346151956156567)",160370.4950177792,57.39276131523312,0.5427799566926044,1.9312213962728193,0.10239734601590136,1.3346151956156567
"(0.013500374818977368, 2.1882313787979126, 1.4500424307437407, 0.20583377622354082)",155595.31796863585,216.30253261496543,0.013500374818977368,2.1882313787979126,1.4500424307437407,0.20583377622354082
"(0.4031007399391845, 2.236943973713573, 0.21400096116435557, 0.15301218287639642)",161015.43288492295,35.200224051035704,0.4031007399391845,2.236943973713573,0.21400096116435557,0.15301218287639642
"(0.6059371130663447, 2.5609520070135003, 0.16844489304131582, 1.4049352979517185)",160786.38723492224,50.07863881639941,0.6059371130663447,2.5609520070135003,0.16844489304131582,1.4049352979517185
"(0.003699187535724402, 2.294436001833386, 0.5203096747903057, 0.11243843306131643)",156952.3185875439,143.69749045665154,0.003699187535724402,2.294436001833386,0.5203096747903057,0.11243843306131643
"(0.14212206001644556, 0.30156600425012525, 1.4552875712787177, 1.437508151126874)",154500.19423545865,378.0230073502453,0.14212206001644556,0.30156600425012525,1.4552875712787177,1.437508151126874
"(1.1371580851119156, 2.243369169439994, 0.1341928469789986, 0.41608188194464324)",167723.35086867743,0.0,1.1371580851119156,2.243369169439994,0.1341928469789986,0.41608188194464324
"(0.1503200690908013, 1.6466627670197012, 0.37878018087574317, 0.18017896796311206)",158354.08763123964,107.39204104803706,0.1503200690908013,1.6466627670197012,0.37878018087574317,0.18017896796311206
"(0.05929933602807502, 2.2485449326148115, 0.46130347445341746, 1.5140770631040126)",155311.17818663176,246.68531931724692,0.05929933602807502,2.2485449326148115,0.46130347445341746,1.5140770631040126
"(0.10451505083974699, 2.9466920924207547, 1.557064045241089, 0.9619371877699042)",155225.5072502262,275.3037375998968,0.10451505083974699,2.9466920924207547,1.557064045241089,0.9619371877699042
"(0.2579470503328354, 1.4745395191585198, 0.1047153053072205, 1.114211843529747)",158054.14819104635,117.85840938964037,0.2579470503328354,1.4745395191585198,0.1047153053072205,1.114211843529747
"(0.17846007655002005, 1.4505349230110431, 0.4467616136475999, 1.553333221452821)",156227.87485562672,200.6439916926425,0.17846007655002005,1.4505349230110431,0.4467616136475999,1.553333221452821
"(0.12028502961832777, 1.7892974036725255, 1.4232732658041243, 1.3103577093148646)",154891.76994550435,296.2777811270308,0.12028502961832777,1.7892974036725255,1.4232732658041243,1.3103577093148646
"(0.2004772641043887, 2.115720176375514, 0.10046219687680784, 1.447088023320892)",156972.51430597142,131.52853424992836,0.2004772641043887,2.115720176375514,0.10046219687680784,1.447088023320892
"(0.15250038584543146, 2.249188052163744, 1.441496345115034, 1.2619078303652795)",155251.65516175306,268.953311104191,0.15250038584543146,2.249188052163744,1.441496345115034,1.2619078303652795
