x,E_heat_kWh,E_cool_kWh,dN_m,dS_m,etaE_rad,etaW_rad
"(2.32186814566789, 2.528195906419416, 1.1526669568683583, 0.7695502763093545)",230137.29404571516,0.0,2.32186814566789,2.528195906419416,1.1526669568683583,0.7695502763093545
"(1.3166353192561568, 1.3391684764311285, 0.6249599259680293, 0.27472124466823805)",226003.78381410954,0.0,1.3166353192561568,1.3391684764311285,0.6249599259680293,0.27472124466823805
"(2.5757937597341476, 2.8589254846803103, 1.3522457479474201, 0.9366849373060012)",230287.1296187344,0.0,2.5757937597341476,2.8589254846803103,1.3522457479474201,0.9366849373060012
"(2.092104087178092, 1.9523837691532102, 0.45423642558678246, 0.32995037720904685)",231556.77661942528,0.0,2.092104087178092,1.9523837691532102,0.45423642558678246,0.32995037720904685
"(0.2825320436629486, 0.34769659595774827, 0.8914384304273383, 0.1896087508298483)",213488.1184438679,0.0,0.2825320436629486,0.34769659595774827,0.8914384304273383,0.1896087508298483
"(2.926867054910268, 2.6552789646804023, 0.3706846492092982, 0.8330417151404255)",233909.5028806538,0.0,2.926867054910268,2.6552789646804023,0.3706846492092982,0.8330417151404255
"(2.283419105971059, 1.4677955724923932, 0.8280919060871877, 1.063398971568543)",229747.8413929208,0.0,2.283419105971059,1.4677955724923932,0.8280919060871877,1.063398971568543
"(2.3581929158308617, 0.42491690391871495, 0.3241257681982277, 1.3555965404173977)",229734.52868023035,0.0,2.3581929158308617,0.42491690391871495,0.3241257681982277,1.3555965404173977
"(0.3843408980266376, 0.45807040152426215, 0.3375205778261372, 1.2507682643128264)",213531.18958101553,0.0,0.3843408980266376,0.45807040152426215,0.3375205778261372,1.2507682643128264
"(1.3511578136867013, 2.0626018053296153, 0.999968364251763, 1.360143553752126)",222913.70482110794,0.0,1.3511578136867013,2.0626018053296153,0.999968364251763,1.360143553752126
"(1.1123940726977437, 0.14211752018846935, 0.4877654819983771, 1.2173010931067092)",221368.5703978863,0.0,1.1123940726977437,0.14211752018846935,0.4877654819983771,1.2173010931067092
"(2.7802949665458057, 0.8597812947414398, 0.3533798230494435, 1.133761913452025)",232119.98847240134,0.0,2.7802949665458057,0.8597812947414398,0.3533798230494435,1.133761913452025
"(1.9315953602419937, 0.4193627714096043, 1.4667593276985575, 0.11490222663682846)",227971.1360727911,0.0,1.9315953602419937,0.4193627714096043,1.4667593276985575,0.11490222663682846
"(2.46828483981249, 1.3232322888518526, 0.1632147785878751, 1.0203703983595394)",231773.9162049494,0.0,2.46828483981249,1.3232322888518526,0.1632147785878751,1.0203703983595394
