date_local,T_out_baseline_C,T_out_2040_C
2001-01-01,25.99791666666667,26.844589160346892
2001-01-02,25.260416666666668,26.35694546464658
2001-01-03,26.009583333333335,27.15384737794446
2001-01-04,25.771666666666665,27.18345840399676
2001-01-05,25.9275,27.43966136383368
2001-01-06,25.27333333333333,26.62540756299028
2001-01-07,25.47458333333333,26.901364394180934
2001-01-08,25.153750000000002,26.42643407828867
2001-01-09,25.317916666666665,26.741821242483443
2001-01-10,25.207083333333333,26.628314001720288
2001-01-11,25.35625,26.755851791260692
2001-01-12,25.278750000000002,26.538034596137596
2001-01-13,25.785,27.366378961951643
2001-01-14,25.816666666666666,27.26921208194179
2001-01-15,26.340416666666666,27.59808578781468
2001-01-16,26.155,27.64028963710798
2001-01-17,26.08791666666667,27.83436512225547
2001-01-18,26.22875,28.009023843382913
2001-01-19,26.268333333333334,28.152384487391288
2001-01-20,26.54958333333333,28.49735822417336
2001-01-21,26.172916666666666,28.54701748936791
2001-01-22,26.181250000000002,28.372301778588966
2001-01-23,26.53916666666667,28.546568401418835
2001-01-24,26.057083333333335,27.939235768850452
2001-01-25,26.074166666666667,27.883535593569988
2001-01-26,26.339166666666667,28.24270182273644
2001-01-27,26.52916666666667,28.538809547319744
2001-01-28,26.70041666666667,28.5379588452262
2001-01-29,26.749166666666667,28.605842300280937
2001-01-30,26.833333333333332,28.657571046098536
2001-01-31,26.87708333333333,28.81423859852804
2001-02-01,26.253333333333334,28.29412944635365
2001-02-02,26.278750000000002,28.321741289506733
2001-02-03,26.250416666666666,28.15241691284217
2001-02-04,25.733333333333334,27.673943937424397
2001-02-05,25.94666666666667,27.97938688374916
2001-02-06,26.48125,28.688157222624245
2001-02-07,26.671666666666667,28.834625246291175
2001-02-08,26.673333333333332,28.880917603075616
2001-02-09,26.639166666666668,28.797614688459415
2001-02-10,26.618750000000002,28.757025303523353
2001-02-11,26.432916666666667,28.356176379472277
2001-02-12,26.464166666666667,28.237842341206694
2001-02-13,26.456666666666667,28.257756927593316
2001-02-14,26.195833333333336,28.045810217519705
2001-02-15,26.459999999999997,28.13133471344746
2001-02-16,26.429166666666664,27.900610861941338
2001-02-17,25.99208333333333,27.692569817986683
2001-02-18,26.558333333333334,28.25516476230629
2001-02-19,26.687916666666666,28.639966333359418
2001-02-20,26.62875,28.248606654267995
2001-02-21,26.62375,28.09012216504519
2001-02-22,26.37625,27.78846804069045
2001-02-23,26.628333333333334,28.21874863499323
2001-02-24,26.82875,28.487365294900005
2001-02-25,26.470416666666665,28.225361854071195
2001-02-26,26.189166666666665,27.86333453230701
2001-02-27,25.907916666666665,27.392206797233474
2001-02-28,25.28833333333333,26.86293419668554
2001-03-01,25.489166666666666,26.939882833221127
2001-03-02,25.6825,26.94198816697771
2001-03-03,25.730833333333333,26.787826913178332
2001-03-04,26.057916666666667,26.89414597496458
2001-03-05,26.35625,27.47069688842156
2001-03-06,26.765,27.945231264536048
2001-03-07,26.6125,27.957991648609735
2001-03-08,26.697083333333335,28.072702061994985
2001-03-09,26.799166666666665,28.236524594984697
2001-03-10,27.1125,28.42609665394369
2001-03-11,26.917916666666667,28.310734770687837
2001-03-12,26.661666666666665,27.981666905826554
2001-03-13,26.687083333333334,28.152425697317334
2001-03-14,26.41208333333333,27.87341556910762
2001-03-15,27.765,29.148818203586025
2001-03-16,27.24291666666667,28.373039547799344
2001-03-17,26.675833333333333,27.77403127768207
2001-03-18,27.085416666666664,28.003848887458357
2001-03-19,27.02208333333333,27.99193891667718
2001-03-20,26.747500000000002,27.851615597233014
2001-03-21,27.560833333333335,28.60637543620164
2001-03-22,27.41333333333333,28.580834214838646
2001-03-23,28.022499999999997,29.357587839906373
2001-03-24,27.355,28.791162250196706
2001-03-25,27.561666666666667,29.11737392130882
2001-03-26,27.155833333333334,28.400554653842867
2001-03-27,27.19875,28.217183787543775
2001-03-28,26.480416666666667,27.212252335951213
2001-03-29,26.39833333333333,27.049024317706202
2001-03-30,26.558333333333334,27.243366598782526
2001-03-31,27.375416666666666,27.84248604383923
2001-04-01,27.573333333333334,28.030606024886385
2001-04-02,27.343333333333334,27.920538105549774
2001-04-03,27.627916666666668,28.24863564492379
2001-04-04,27.3875,28.164896645050177
2001-04-05,26.67958333333333,27.378414068735715
2001-04-06,27.361666666666665,28.20149158759857
2001-04-07,27.919166666666666,28.55442025572973
2001-04-08,27.366249999999997,28.020063029179607
2001-04-09,27.44666666666667,28.21832775451631
2001-04-10,27.37125,27.82856944449624
2001-04-11,27.590416666666666,28.046012476184213
2001-04-12,27.051666666666666,27.446382057384206
2001-04-13,27.460416666666664,27.784568990850524
2001-04-14,27.249583333333334,27.428135046964016
2001-04-15,27.314166666666665,27.5143355049751
2001-04-16,26.89125,27.256249822610112
2001-04-17,27.33875,27.942885462838664
2001-04-18,27.375,28.170546590051064
2001-04-19,27.88083333333333,29.046378653145574
2001-04-20,27.713333333333335,28.78789177583865
2001-04-21,26.924166666666665,27.98192393958087
2001-04-22,28.035416666666666,29.172531146532368
2001-04-23,27.38625,28.369724474181204
2001-04-24,27.340833333333336,28.568520432452203
2001-04-25,28.160416666666666,29.4019975400652
2001-04-26,27.067916666666665,28.493212226219995
2001-04-27,27.0275,28.690358367019257
2001-04-28,27.314999999999998,28.94387106713171
2001-04-29,27.622500000000002,29.20856062234086
2001-04-30,27.779583333333335,29.114109367134
2001-05-01,27.249583333333334,28.77451811409353
2001-05-02,27.289583333333336,28.556687528852667
2001-05-03,26.904583333333335,28.228263795711214
2001-05-04,27.724166666666665,29.10079489798847
