P_max_kW,best_feasible_E_cool_el_2040_kWh,feasible_fraction
200.0,49762.933769244584,1.0
250.0,49762.933769244584,1.0
300.0,49762.933769244584,1.0
350.0,49762.933769244584,1.0
400.0,49762.933769244584,1.0
450.0,49762.933769244584,1.0
500.0,49762.933769244584,1.0
